timestamp,compression_number,z_value,esp_id,imu_number,ax,ay,az,gx,gy,gz
1772551343.9857068,1,0.0,72106,2,0.895431,-0.138864,-11.305421,0.002265,0.063685,-0.038637
1772551343.9913259,1,0.0,72106,3,1.043872,-1.417367,-11.865664,-0.24408,-0.131366,-0.014789
1772551343.998078,1,0.0,72106,4,-0.062249,0.742203,-11.611878,0.037971,0.005995,-0.00373
1772551344.008894,1,0.0,72135,1,0.651223,0.373495,-11.674128,0.046764,0.067548,-0.027312
1772551344.0144293,1,0.0,72135,2,0.933739,-0.110133,-11.066,-0.003064,0.058222,-0.03917
1772551344.0212955,1,0.0,72135,3,0.957681,-1.25935,-11.554418,-0.211038,-0.102188,-0.015055
1772551344.026735,1,0.0,72135,4,-0.114922,0.636858,-11.444284,0.011058,0.005462,-0.001998
1772551344.0375352,1,0.0,72164,1,0.636858,0.430956,-11.57836,0.027979,0.027046,-0.029711
1772551344.0442889,1,0.0,72164,2,0.933739,-0.191536,-11.257536,-0.00413,0.038637,-0.033308
1772551344.0499256,1,0.0,72164,3,0.871489,-1.221043,-11.520899,-0.10885,-0.034773,-0.015721
1772551344.0568092,1,0.0,72164,4,-0.100556,0.579397,-11.626244,-0.007861,-0.003997,-0.002798
1772551344.0674012,1,0.0,72193,1,0.627281,0.445322,-11.410766,0.00493,0.006662,-0.03051
1772551344.0732846,1,0.0,72193,2,0.957681,-0.110133,-11.425131,-0.007194,0.021583,-0.036505
1772551344.0785606,1,0.0,72193,3,0.967257,-1.278504,-11.75553,-0.119375,-0.054225,-0.01319
1772551344.0854254,1,0.0,72193,4,-0.100556,0.622492,-11.674128,-0.006928,-0.002531,-0.003597
1772551344.095999,1,0.0,72222,1,0.646434,0.54109,-11.314998,0.021051,0.039037,-0.028911
1772551344.1015193,1,0.0,72222,2,1.240196,0.110133,-11.137826,-0.006395,0.030243,-0.031443
1772551344.1070712,1,0.0,72222,3,1.307234,-0.914585,-12.354081,-0.084735,-0.089265,-0.026646
1772551344.1138985,1,0.0,72222,4,-0.181959,0.675165,-11.927913,0.066882,-0.003331,-0.012391
1772551344.1246965,1,0.0,72251,1,0.727837,0.234632,-11.678916,0.01279,0.050894,-0.024381
1772551344.1314452,1,0.0,72251,2,1.369483,-0.105345,-11.176133,0.016254,0.011991,-0.022783
1772551344.1369443,1,0.0,72251,3,0.770933,-1.264138,-11.678916,-0.201446,-0.105786,-0.004796
1772551344.1425035,1,0.0,72251,4,-0.143652,0.914585,-11.520899,0.039969,-0.017453,-0.002665
1772551344.1545367,1,0.0,72280,1,0.770933,0.502782,-11.702858,0.049962,0.056757,-0.019185
1772551344.1599765,1,0.0,72280,2,0.861913,-0.220267,-11.449073,0.017187,0.059554,-0.027579
1772551344.1656306,1,0.0,72280,3,0.742203,-1.134852,-11.583148,-0.196783,-0.09566,-0.010392
1772551344.1709511,1,0.0,72280,4,-0.229843,0.363919,-11.405977,0.036772,0.019985,0.001732
1772551344.1835008,1,0.0,72309,1,0.684742,0.383072,-11.597513,0.039969,0.055691,-0.023182
1772551344.1886714,1,0.0,72309,2,0.890643,-0.033519,-11.45865,-0.011325,0.085934,-0.037172
1772551344.2016113,1,0.0,72309,3,0.92895,-1.154005,-11.554418,-0.26593,-0.171868,-0.014389
1772551344.2066147,1,0.0,72309,4,-0.311246,0.483629,-11.592725,0.022383,0.02185,-0.004663
1772551344.2122936,1,0.0,72338,1,0.593762,0.35913,-11.496957,0.023582,0.03464,-0.028778
1772551344.2175279,1,0.0,72338,2,0.794875,-0.153229,-11.171345,-0.033574,0.096459,-0.0429
1772551344.2241597,1,0.0,72338,3,0.727837,-0.933739,-11.324574,-0.247277,-0.194384,-0.023848
1772551344.2296379,1,0.0,72338,4,-0.21069,0.402226,-11.765107,0.022649,0.025447,-0.00493
1772551344.2416651,1,0.0,72367,1,0.497994,0.287304,-11.463438,0.009859,0.00826,-0.033308
1772551344.2476883,1,0.0,72367,2,1.034295,-0.148441,-11.310209,-0.014655,0.052227,-0.042767
1772551344.2527466,1,0.0,72367,3,0.881066,-0.924162,-11.832145,-0.253006,-0.181994,-0.018253
1772551344.2595134,1,0.0,72367,4,0.038307,0.656011,-11.669339,0.015055,-0.005462,-0.009326
1772551344.270269,1,0.0,72396,1,0.679953,0.387861,-11.544841,0.021184,0.010525,-0.032642
1772551344.2757092,1,0.0,72396,2,1.182736,-0.081403,-11.252748,0.013057,0.040236,-0.040769
1772551344.2813928,1,0.0,72396,3,0.895431,-0.78051,-11.870452,-0.260334,-0.164008,-0.015455
1772551344.288106,1,0.0,72396,4,-0.02873,0.651223,-11.425131,0.014922,-0.014789,-0.004397
1772551344.2988741,1,0.0,72425,1,0.761356,0.397437,-11.69807,0.004796,0.026646,-0.035573
1772551344.3043375,1,0.0,72425,2,1.254562,-0.181959,-11.310209,0.002132,0.033974,-0.037971
1772551344.3112104,1,0.0,72425,3,0.636858,-0.885855,-11.75553,-0.271126,-0.140159,-0.012257
1772551344.3167372,1,0.0,72425,4,-0.014365,0.636858,-11.496957,0.015721,-0.007861,-0.001199
1772551344.3275933,1,0.0,72454,1,0.790087,0.383072,-11.659762,-0.005196,0.028778,-0.031709
