compression_number,z_value,ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
1,92.5,986841,0.512359,0.392649,-11.386824,-0.001599,0.002798,-0.032775,0.344765,-0.35913,-11.300632,-0.021717,0.036905,-0.035706,-0.435745,-0.301669,-11.506534,-0.052493,-0.027046,-0.019185,-0.665588,0.268151,-11.841722,-0.017054,-0.036106,-0.00413
1,92.5,986910,0.292093,0.363919,-11.468226,-0.005995,0.003864,-0.034907,0.186748,-0.387861,-11.377247,0.002665,-0.012124,-0.034507,-0.373495,-0.215478,-11.611878,-0.05156,0.000533,-0.019851,-0.56982,0.373495,-11.439496,-0.037704,0.003064,-0.005196
1,92.0,986979,0.454898,0.373495,-11.57836,-0.003331,-0.012124,-0.032642,0.292093,-0.387861,-11.305421,-0.015855,0.013323,-0.033441,-0.411803,-0.268151,-11.57836,-0.047297,-0.017054,-0.020384,-0.617704,0.282516,-11.554418,-0.022383,-0.010525,-0.00453
1,92.0,987048,0.325611,0.339977,-11.329363,0.031576,0.031443,-0.027446,0.052672,-0.35913,-11.420342,-0.014789,0.035706,-0.035173,-0.531513,-0.383072,-11.903971,-0.016121,-0.003597,-0.021317,-0.679953,0.201113,-12.196063,-0.03464,-0.027845,-0.003464
1,91.5,987117,0.335188,0.363919,-11.63582,-0.005596,0.001066,-0.031309,0.253785,-0.378284,-11.3964,0.000533,-0.013723,-0.032242,-0.392649,-0.335188,-11.750742,-0.041035,0.011724,-0.019985,-0.531513,0.248997,-11.382035,-0.032642,0.009593,-0.003198
1,91.5,987186,0.517148,0.383072,-11.659762,-0.030776,-0.000266,-0.03424,0.402226,-0.363919,-11.439496,-0.000666,-0.010392,-0.033708,-0.311246,-0.234632,-11.343728,-0.075542,-0.01732,-0.016121,-0.593762,0.3304,-11.305421,-0.008127,-0.018652,-0.003864
1,91.0,987255,0.35913,0.373495,-11.386824,0.006395,0.015188,-0.03091,0.114922,-0.373495,-11.358093,-0.018786,0.013057,-0.032375,-0.493206,-0.311246,-11.832145,-0.028778,0.00453,-0.020384,-0.6608,0.253785,-11.903971,-0.025847,-0.015055,-0.002531
1,91.0,987324,0.407014,0.368707,-11.27669,0.019185,0.031975,-0.029577,0.229843,-0.363919,-11.405977,-0.006662,0.068747,-0.037172,-0.335188,-0.325611,-11.822568,-0.028112,-0.037038,-0.019718,-0.550666,0.296881,-11.722012,-0.045698,-0.041168,-0.002931
1,90.5,987393,0.416591,0.378284,-11.405977,-0.000666,0.022516,-0.031309,0.201113,-0.373495,-11.391612,-0.008527,0.020118,-0.033308,-0.430956,-0.344765,-11.812991,-0.029711,-0.005995,-0.021184,-0.632069,0.272939,-11.865664,-0.028778,-0.010259,-0.003331
1,90.5,987462,0.354342,0.363919,-11.401189,0.02598,-0.000133,-0.031576,0.158017,-0.378284,-11.089942,-0.03544,0.049828,-0.037172,-0.45011,-0.272939,-11.674128,-0.03917,-0.037438,-0.022649,-0.550666,0.229843,-11.880029,-0.040369,-0.028378,-0.003464
1,90.0,987531,0.397437,0.354342,-11.425131,-0.003331,0.010925,-0.031709,0.234632,-0.387861,-11.391612,-0.005596,0.03504,-0.033041,-0.354342,-0.368707,-11.808203,-0.029844,-0.010658,-0.020518,-0.526724,0.229843,-11.621455,-0.033574,-0.019185,-0.003997
1,90.0,987600,0.407014,0.35913,-11.812991,0.01319,-0.043034,-0.031043,0.181959,-0.45011,-11.200075,-0.031176,-0.015188,-0.031709,-0.579397,-0.301669,-11.386824,-0.065816,-0.009593,-0.019185,-0.636858,0.215478,-11.851298,-0.016121,-0.014256,-0.002132
1,89.5,987669,0.35913,0.363919,-11.583148,0.005196,-0.024115,-0.030643,0.234632,-0.373495,-11.21444,-0.018919,0.019851,-0.032642,-0.42138,-0.296881,-11.592725,-0.048363,-0.021184,-0.01732,-0.517148,0.172383,-11.415554,-0.031975,-0.013989,-0.003597
1,89.5,987738,0.339977,0.392649,-11.51611,0.00413,0.016521,-0.030643,0.11971,-0.402226,-11.420342,-0.004263,0.006262,-0.032642,-0.430956,-0.363919,-11.956643,-0.022116,0.023982,-0.023315,-0.617704,0.282516,-11.511322,-0.028511,0.016387,-0.005196
1,89.0,987807,0.339977,0.392649,-11.645397,-0.00373,-0.010525,-0.033708,0.186748,-0.397437,-11.305421,-0.007194,0.0004,-0.033441,-0.454898,-0.277727,-11.722012,-0.051694,0.005862,-0.020251,-0.622492,0.268151,-11.530476,-0.022649,0.003198,-0.005196
1,89.0,987876,0.430956,0.383072,-11.544841,-0.005462,0.001998,-0.031842,0.272939,-0.392649,-11.343728,-0.015455,0.002798,-0.031842,-0.42138,-0.287304,-11.45865,-0.052893,-0.007994,-0.017986,-0.694318,0.287304,-11.69807,-0.019185,-0.013057,-0.001466
